image,label
images/887_HC.png,labels/887_HC_seg.png
images/557_HC.png,labels/557_HC_seg.png
images/906_HC.png,labels/906_HC_seg.png
images/419_2HC.png,labels/419_2HC_seg.png
images/130_HC.png,labels/130_HC_seg.png
images/740_HC.png,labels/740_HC_seg.png
images/178_HC.png,labels/178_HC_seg.png
images/93_HC.png,labels/93_HC_seg.png
images/339_2HC.png,labels/339_2HC_seg.png
images/429_HC.png,labels/429_HC_seg.png
images/68_HC.png,labels/68_HC_seg.png
images/964_HC.png,labels/964_HC_seg.png
images/707_HC.png,labels/707_HC_seg.png
images/620_2HC.png,labels/620_2HC_seg.png
images/546_HC.png,labels/546_HC_seg.png
images/628_HC.png,labels/628_HC_seg.png
images/606_HC.png,labels/606_HC_seg.png
images/145_HC.png,labels/145_HC_seg.png
images/576_HC.png,labels/576_HC_seg.png
images/323_HC.png,labels/323_HC_seg.png
images/895_2HC.png,labels/895_2HC_seg.png
images/379_HC.png,labels/379_HC_seg.png
images/415_HC.png,labels/415_HC_seg.png
images/520_HC.png,labels/520_HC_seg.png
images/668_HC.png,labels/668_HC_seg.png
images/409_HC.png,labels/409_HC_seg.png
images/396_HC.png,labels/396_HC_seg.png
images/271_HC.png,labels/271_HC_seg.png
images/459_2HC.png,labels/459_2HC_seg.png
images/794_HC.png,labels/794_HC_seg.png
images/260_HC.png,labels/260_HC_seg.png
images/455_HC.png,labels/455_HC_seg.png
images/837_HC.png,labels/837_HC_seg.png
images/584_HC.png,labels/584_HC_seg.png
images/277_HC.png,labels/277_HC_seg.png
images/637_HC.png,labels/637_HC_seg.png
images/716_HC.png,labels/716_HC_seg.png
images/749_HC.png,labels/749_HC_seg.png
images/149_HC.png,labels/149_HC_seg.png
images/484_HC.png,labels/484_HC_seg.png
images/151_HC.png,labels/151_HC_seg.png
images/609_HC.png,labels/609_HC_seg.png
images/854_HC.png,labels/854_HC_seg.png
images/714_HC.png,labels/714_HC_seg.png
images/77_3HC.png,labels/77_3HC_seg.png
images/283_HC.png,labels/283_HC_seg.png
images/281_2HC.png,labels/281_2HC_seg.png
images/235_HC.png,labels/235_HC_seg.png
images/516_HC.png,labels/516_HC_seg.png
images/202_HC.png,labels/202_HC_seg.png
images/355_HC.png,labels/355_HC_seg.png
images/997_HC.png,labels/997_HC_seg.png
images/117_HC.png,labels/117_HC_seg.png
images/270_HC.png,labels/270_HC_seg.png
images/663_HC.png,labels/663_HC_seg.png
images/486_2HC.png,labels/486_2HC_seg.png
images/403_HC.png,labels/403_HC_seg.png
images/868_HC.png,labels/868_HC_seg.png
images/46_HC.png,labels/46_HC_seg.png
images/560_HC.png,labels/560_HC_seg.png
images/795_HC.png,labels/795_HC_seg.png
images/36_HC.png,labels/36_HC_seg.png
images/655_2HC.png,labels/655_2HC_seg.png
images/331_HC.png,labels/331_HC_seg.png
images/810_2HC.png,labels/810_2HC_seg.png
images/307_3HC.png,labels/307_3HC_seg.png
images/400_2HC.png,labels/400_2HC_seg.png
images/115_HC.png,labels/115_HC_seg.png
images/267_HC.png,labels/267_HC_seg.png
images/101_HC.png,labels/101_HC_seg.png
images/135_HC.png,labels/135_HC_seg.png
images/327_2HC.png,labels/327_2HC_seg.png
images/85_2HC.png,labels/85_2HC_seg.png
images/796_HC.png,labels/796_HC_seg.png
images/856_HC.png,labels/856_HC_seg.png
images/493_HC.png,labels/493_HC_seg.png
images/591_2HC.png,labels/591_2HC_seg.png
images/864_HC.png,labels/864_HC_seg.png
images/16_2HC.png,labels/16_2HC_seg.png
images/920_HC.png,labels/920_HC_seg.png
images/426_HC.png,labels/426_HC_seg.png
images/826_3HC.png,labels/826_3HC_seg.png
